0x00200008, _start - Clears the uninitialized data region, initializes EE runtime services, runs main, and passes its result to Exit
0x002000B8, _exit - Loops indefinitely as the terminal fallback reached after program shutdown
0x002000C0, _root - Terminates the root thread through PS2 kernel syscall 0x23 when its entry routine returns
0x00200100, RFU000_FullReset - Dispatches reserved PS2 kernel syscall 0 for its corresponding SDK operation
0x00200110, ResetEE - Dispatches PS2 kernel syscall 1 for the reset EE operation
0x00200120, SetGsCrt - Dispatches PS2 kernel syscall 2 for the set GS CRT operation
0x00200130, RFU003 - Dispatches reserved PS2 kernel syscall 3 for its corresponding SDK operation
0x00200140, _Exit - Dispatches PS2 kernel syscall 4 for the exit operation
0x00200150, RFU005 - Dispatches reserved PS2 kernel syscall 5 for its corresponding SDK operation
0x00200160, _LoadExecPS2 - Dispatches PS2 kernel syscall 6 for the load exec ps 2 operation
0x00200170, _ExecPS2 - Dispatches PS2 kernel syscall 7 for the exec ps 2 operation
0x00200180, RFU008 - Dispatches reserved PS2 kernel syscall 8 for its corresponding SDK operation
0x00200190, RFU009 - Dispatches reserved PS2 kernel syscall 9 for its corresponding SDK operation
0x002001A0, AddSbusIntcHandler - Dispatches PS2 kernel syscall 10 for the add SBUS interrupt-controller handler operation
0x002001B0, RemoveSbusIntcHandler - Dispatches PS2 kernel syscall 0xB for the remove SBUS interrupt-controller handler operation
0x002001C0, Interrupt2Iop - Dispatches PS2 kernel syscall 0xC for the interrupt 2 IOP operation
0x002001D0, SetVTLBRefillHandler - Dispatches PS2 kernel syscall 0xD for the set vtlb refill handler operation
0x002001E0, SetVCommonHandler - Dispatches PS2 kernel syscall 0xE for the set v common handler operation
0x002001F0, SetVInterruptHandler - Dispatches PS2 kernel syscall 0xF for the set v interrupt handler operation
0x00200200, AddIntcHandler - Dispatches PS2 kernel syscall 0x10 for the add interrupt-controller handler operation
0x00200210, AddIntcHandler2 - Dispatches PS2 kernel syscall 0x10 for the add interrupt-controller handler 2 operation
0x00200220, RemoveIntcHandler - Dispatches PS2 kernel syscall 0x11 for the remove interrupt-controller handler operation
0x00200230, AddDmacHandler - Dispatches PS2 kernel syscall 0x12 for the add DMA-controller handler operation
0x00200240, AddDmacHandler2 - Dispatches PS2 kernel syscall 0x12 for the add DMA-controller handler 2 operation
0x00200250, RemoveDmacHandler - Dispatches PS2 kernel syscall 0x13 for the remove DMA-controller handler operation
0x00200260, _EnableIntc - Dispatches PS2 kernel syscall 0x14 for the enable interrupt-controller operation
0x00200270, _DisableIntc - Dispatches PS2 kernel syscall 0x15 for the disable interrupt-controller operation
0x00200280, _EnableDmac - Dispatches PS2 kernel syscall 0x16 for the enable DMA-controller operation
0x00200290, _DisableDmac - Dispatches PS2 kernel syscall 0x17 for the disable DMA-controller operation
0x002002A0, SetAlarm - Dispatches PS2 kernel syscall 0xFC for the set alarm operation
0x002002B0, ReleaseAlarm - Dispatches PS2 kernel syscall 0xFD for the release alarm operation
0x002002C0, _iEnableIntc - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFE6 for the i enable interrupt-controller operation
0x002002D0, _iDisableIntc - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFE5 for the i disable interrupt-controller operation
0x002002E0, _iEnableDmac - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFE4 for the i enable DMA-controller operation
0x002002F0, _iDisableDmac - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFE3 for the i disable DMA-controller operation
0x00200300, iSetAlarm - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF02 for the i set alarm operation
0x00200310, iReleaseAlarm - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF01 for the i release alarm operation
0x00200320, CreateThread - Dispatches PS2 kernel syscall 0x20 for the create thread operation
0x00200330, DeleteThread - Dispatches PS2 kernel syscall 0x21 for the delete thread operation
0x00200340, StartThread - Dispatches PS2 kernel syscall 0x22 for the start thread operation
0x00200350, ExitThread - Dispatches PS2 kernel syscall 0x23 for the exit thread operation
0x00200360, ExitDeleteThread - Dispatches PS2 kernel syscall 0x24 for the exit delete thread operation
0x00200370, TerminateThread - Dispatches PS2 kernel syscall 0x25 for the terminate thread operation
0x00200380, iTerminateThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFDA for the i terminate thread operation
0x00200390, DisableDispatchThread - Dispatches PS2 kernel syscall 0x27 for the disable dispatch thread operation
0x002003A0, EnableDispatchThread - Dispatches PS2 kernel syscall 0x28 for the enable dispatch thread operation
0x002003B0, ChangeThreadPriority - Dispatches PS2 kernel syscall 0x29 for the change thread priority operation
0x002003C0, iChangeThreadPriority - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFD6 for the i change thread priority operation
0x002003D0, RotateThreadReadyQueue - Dispatches PS2 kernel syscall 0x2B for the rotate thread ready queue operation
0x002003E0, _iRotateThreadReadyQueue - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFD4 for the i rotate thread ready queue operation
0x002003F0, ReleaseWaitThread - Dispatches PS2 kernel syscall 0x2D for the release wait thread operation
0x00200400, iReleaseWaitThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFD2 for the i release wait thread operation
0x00200410, GetThreadId - Dispatches PS2 kernel syscall 0x2F for the get thread id operation
0x00200420, ReferThreadStatus - Dispatches PS2 kernel syscall 0x30 for the refer thread status operation
0x00200430, iReferThreadStatus - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFCF for the i refer thread status operation
0x00200440, SleepThread - Dispatches PS2 kernel syscall 0x32 for the sleep thread operation
0x00200450, WakeupThread - Dispatches PS2 kernel syscall 0x33 for the wakeup thread operation
0x00200460, _iWakeupThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFCC for the i wakeup thread operation
0x00200470, CancelWakeupThread - Dispatches PS2 kernel syscall 0x35 for the cancel wakeup thread operation
0x00200480, iCancelWakeupThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFCA for the i cancel wakeup thread operation
0x00200490, SuspendThread - Dispatches PS2 kernel syscall 0x37 for the suspend thread operation
0x002004A0, _iSuspendThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFC8 for the i suspend thread operation
0x002004B0, ResumeThread - Dispatches PS2 kernel syscall 0x39 for the resume thread operation
0x002004C0, iResumeThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFC6 for the i resume thread operation
0x002004D0, JoinThread - Dispatches PS2 kernel syscall 0x3B for the join thread operation
0x002004E0, RFU060 - Dispatches reserved PS2 kernel syscall 0x3C for its corresponding SDK operation
0x002004F0, RFU061 - Dispatches reserved PS2 kernel syscall 0x3D for its corresponding SDK operation
0x00200500, EndOfHeap - Dispatches PS2 kernel syscall 0x3E for the end of heap operation
0x00200510, RFU063 - Dispatches reserved PS2 kernel syscall 0x3F for its corresponding SDK operation
0x00200520, CreateSema - Dispatches PS2 kernel syscall 0x40 for the create sema operation
0x00200530, DeleteSema - Dispatches PS2 kernel syscall 0x41 for the delete sema operation
0x00200540, SignalSema - Dispatches PS2 kernel syscall 0x42 for the signal sema operation
0x00200550, iSignalSema - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFBD for the i signal sema operation
0x00200560, WaitSema - Dispatches PS2 kernel syscall 0x44 for the wait sema operation
0x00200570, PollSema - Dispatches PS2 kernel syscall 0x45 for the poll sema operation
0x00200580, iPollSema - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFBA for the i poll sema operation
0x00200590, ReferSemaStatus - Dispatches PS2 kernel syscall 0x47 for the refer sema status operation
0x002005A0, iReferSemaStatus - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFB8 for the i refer sema status operation
0x002005B0, RFU073 - Dispatches reserved PS2 kernel syscall 0x49 for its corresponding SDK operation
0x002005C0, SetOsdConfigParam - Dispatches PS2 kernel syscall 0x4A for the set OSD config parameters operation
0x002005D0, GetOsdConfigParam - Dispatches PS2 kernel syscall 0x4B for the get OSD config parameters operation
0x002005E0, GetGsHParam - Dispatches PS2 kernel syscall 0x4C for the get GS h parameters operation
0x002005F0, GetGsVParam - Dispatches PS2 kernel syscall 0x4D for the get GS v parameters operation
0x00200600, SetGsHParam - Dispatches PS2 kernel syscall 0x4E for the set GS h parameters operation
0x00200610, SetGsVParam - Dispatches PS2 kernel syscall 0x4F for the set GS v parameters operation
0x00200620, RFU080_CreateEventFlag - Dispatches reserved PS2 kernel syscall 0x50 for its corresponding SDK operation
0x00200630, RFU081_DeleteEventFlag - Dispatches reserved PS2 kernel syscall 0x51 for its corresponding SDK operation
0x00200640, RFU082_SetEventFlag - Dispatches reserved PS2 kernel syscall 0x52 for its corresponding SDK operation
0x00200650, RFU083_iSetEventFlag - Dispatches reserved PS2 kernel syscall 0xFFFFFFFFFFFFFFAD for its corresponding SDK operation
0x00200660, RFU084_ClearEventFlag - Dispatches reserved PS2 kernel syscall 0x54 for its corresponding SDK operation
0x00200670, RFU085_iClearEventFlag - Dispatches reserved PS2 kernel syscall 0xFFFFFFFFFFFFFFAB for its corresponding SDK operation
0x00200680, RFU086_WaitEvnetFlag - Dispatches reserved PS2 kernel syscall 0x56 for its corresponding SDK operation
0x00200690, RFU087_PollEvnetFlag - Dispatches reserved PS2 kernel syscall 0x57 for its corresponding SDK operation
0x002006A0, RFU088_iPollEvnetFlag - Dispatches reserved PS2 kernel syscall 0xFFFFFFFFFFFFFFA8 for its corresponding SDK operation
0x002006B0, RFU089_ReferEventFlagStatus - Dispatches reserved PS2 kernel syscall 0x59 for its corresponding SDK operation
0x002006C0, RFU090_iReferEventFlagStatus - Dispatches reserved PS2 kernel syscall 0xFFFFFFFFFFFFFFA6 for its corresponding SDK operation
0x002006D0, RFU091 - Dispatches reserved PS2 kernel syscall 0x5B for its corresponding SDK operation
0x002006E0, EnableIntcHandler - Dispatches PS2 kernel syscall 0x5C for the enable interrupt-controller handler operation
0x002006F0, iEnableIntcHandler - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFA4 for the i enable interrupt-controller handler operation
0x00200700, DisableIntcHandler - Dispatches PS2 kernel syscall 0x5D for the disable interrupt-controller handler operation
0x00200710, iDisableIntcHandler - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFA3 for the i disable interrupt-controller handler operation
0x00200720, EnableDmacHandler - Dispatches PS2 kernel syscall 0x5E for the enable DMA-controller handler operation
